category_id,job_category,posting_count,needs_review,confidence,c1_current,c2,c3,c4,c5,pick,correct_uri,notes
79,Social Media Manager,344,True,693,responsabile della gestione della community online,responsabile del marketing digitale,responsabile della comunicazione,media planner,responsabile dello sviluppo di abbigliamento,1,,
83,Brand Ambassador,324,True,663,responsabile dello sviluppo di abbigliamento,responsabile del marchio,ambasciatore/ambasciatrice,responsabile dell’employer branding,esattore/esattrice,2,,
99,Sanità/Medicina,262,True,639,assistente medico-sanitario/assistente medico-sanitaria,ausiliario sanitario portantino/ausiliaria sanitaria portantina,addetto a front office sanitario/addetta a front office sanitario,consulente sanitario/consulente sanitaria,docente universitario in scienze mediche/docente universitaria in scienze mediche,1,,
101,Addetto Protocollo,259,True,624,deputato/deputata,addetto alla stipulazione di prestiti ipotecari/addetta alla stipulazione di prestiti ipotecari,consulente prestiti,addetto alla segnaletica stradale orizzontale/addetta alla segnaletica stradale orizzontale,collaudatore di software/collaudatrice di software,,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,
104,HR Analyst,235,True,681,analista del lavoro,analista business dei sistemi TIC,analista retributivo/analista retributiva,analista di business,analista dei dati,1,,
110,Edilizia,221,True,673,esercente di cartoleria ed edicola,manovale di miniera o di cava,operatore per la conduzione e la manutenzione di reti e impianti fognari/operatrice per la conduzione e la manutenzione di reti e impianti fognari,magliaio/magliaia,costruttore di arpe/costruttrice di arpe,,http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,
111,Risk Analyst,220,True,662,analista del rischio di credito,analista di titoli,analista di investimenti,analista assicurativo/analista assicurativa,consulente in materia di rischio assicurativo,1,,
119,Content Creator,206,True,648,blogger,addetto alla gestione dei contenuti web/addetta alla gestione dei contenuti web,scrittore/scrittrice,webmaster,sviluppatore di contenuti di e-learning/sviluppatrice di contenuti di e-learning,2,,
132,AI Engineer,182,True,683,ingegnere dell’intelligenza artificiale/ingegnera dell'intelligenza artificiale,ingegnere calcolatore,ingegnere dell’automazione,specialista in auto a guida autonoma,ingenere esperto in sistemi di domotica,1,,
139,Software Tester,169,True,643,analista software,collaudatore di software/collaudatrice di software,sviluppatore di software/sviluppatrice di software,collaudatore dell’usabilità informatica/collaudatrice dell’usabilità informatica,sistemista,2,,
162,Risk Manager,122,True,674,compilatore di quote/compilatrice di quote,gestore di patrimoni,gestore dei rischi aziendali,gestore del rischio finanziario,responsabile delle risorse materiali,3,,
171,Sales Representative,111,True,682,responsabile delle vendite,rappresentante tecnico-commerciale,responsabile del reparto vendite,operatore di call center/operatrice di call center,rappresentante del servizio clienti,2,,
175,Macellaio,104,True,0.69,macellaio/macellaia,tagliatore di macelleria/tagliatrice di macelleria,esercente di macelleria,modista,magliaio/magliaia,1,,
178,Progettista Edile,102,True,691,addetto a centro estetico/addetta a centro estetico,estetista,ingegnere progettista,disegnatore industriale/disegnatrice industriale,ponteggiatore/ponteggiatrice,3,,
188,Formazione/Istruzione,86,True,625,formatore/formatrice,docente nella formazione professionale,addetto alla composizione/addetta alla composizione,dirigente scolastico/dirigente scolastica,docente universitario in scienze dell’educazione/docente universitaria in scienze dell’educazione,1,,
201,UX Designer,70,True,0.67,web designer,architetto del paesaggio,designer grafico/designer grafica,sviluppatore di interfacce utente/sviluppatrice di interfacce utente,progettista di interfacce utente,1,,
207,Operations Manager,66,True,687,responsabile dei servizi,direttore di aeroporto/direttrice di aeroporto,direttore operativo/direttrice operativa,dirigente delle risorse umane,responsabile di reparto,3,,
211,Property Manager,62,True,692,gestore di patrimoni,responsabile di progetto,responsabile di reparto,responsabile di prodotto,responsabile della direzione crediti,1,,
236,Content Manager,41,True,694,addetto alla gestione dei contenuti web/addetta alla gestione dei contenuti web,location manager,responsabile di progetto,destination manager,responsabile della comunicazione,1,,
238,Turismo/Vacanze,40,True,566,artista di spettacolo,assistente familiare,tranviere/tranviera,tubista,addetto alla produzione orticola/addetta alla produzione orticola,,http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19,
237,Private Equity Analyst,40,True,668,analista di investimenti,analista di titoli,consulente economico/consulente economica,analista finanziario/analista finanziaria,analista retributivo/analista retributiva,1,,
240,Neolaureati,38,True,594,addetto alla bisellatura del vetro/addetta alla bisellatura del vetro,vetraio/vetraia,ispettore di saldatura/ispettrice di saldatura,coordinatore di saldatura/coordinatrice di saldatura,addetto alla molatura/addetta alla molatura,,http://data.europa.eu/esco/occupation/1092dd4c-b96b-4b3f-87fe-4a9e8d1937fb,
242,Addetto Stampa,37,True,689,modellista di stampi,addetto stireria/addetta stireria,serigrafo/serigrafa,preparatore telai serigrafici/preparatrice telai serigrafici,addetto a macchina spaccapietre/addetta a macchina spaccapietre,,http://data.europa.eu/esco/occupation/4b536ea7-ebac-4f75-8356-94eb639f1ecc,
252,Wedding Planner,31,True,604,organizzatore di matrimoni/organizzatrice di matrimoni,media planner,pianificatore di nave/pianificatrice di nave,esercente per la vendita di articoli di abbigliamento,terapista di coppia,1,,
253,Grafica/Creatività/Design,31,True,646,designer grafico/designer grafica,responsabile dei servizi,operatore di prestampa/operatrice di prestampa,tecnico di prestampa,sviluppatore di interfacce utente/sviluppatrice di interfacce utente,1,,
272,Content Editor Multimediale,22,True,682,progettista di media digitali,editore/editrice,editore librario/editrice libraria,artista digitale,responsabile del servizio noleggio,1,,
283,Internal Auditor,18,True,693,responsabile del controllo TIC,auditor informatico,assistente contabile,contabile,addetto ai controlli contabili /addetta ai controlli contabili,5,,
295,Macchinista Ferroviario,13,True,689,giuntista di cavi elettrici,macchinista ferroviario/macchinista ferroviaria,facchino teatrale,addetto ai traslochi/addetta ai traslochi,ispettore dell'infrastruttura ferroviaria/ispettrice dell'infrastruttura ferroviaria,2,,
296,Machine Learning Engineer,13,True,611,ingegnere dell’intelligenza artificiale/ingegnera dell'intelligenza artificiale,architetto di sistemi e-learning,sviluppatore di contenuti di e-learning/sviluppatrice di contenuti di e-learning,tecnico commerciale,assistente ingegnere,1,,
301,Addetto Recupero Crediti,11,True,671,mediatore creditizio/mediatrice creditizia,responsabile della direzione crediti,esattore di crediti/esattrice di crediti,consulente creditizio/consulente creditizia,esattore/esattrice,3,,
306,Rider,10,True,686,atleta professionista,corriere in bicicletta,istruttore di equitazione/istruttrice di equitazione,istruttore di attività all’aperto/istruttrice di attività all’aperto,animatore di attività all’aperto/animatrice di attività all’aperto,2,,
1,Venditore,5898,False,851,commerciante all’ingrosso,venditore porta a porta/venditrice porta a porta,venditore ambulante/venditrice ambulante,esercente di banco di mercato,assistente di vendita,,,
2,Assistente Amministrativo,3637,False,955,assistente contabile,assistente amministrativo/assistente amministrativa,assistente amministrativo medico/assistente amministrativa medica,dirigente amministrativo di tribunale/dirigente amministrativa di tribunale,responsabile di ufficio,,,
3,Commesso/a,3258,False,841,assistente di vendita,addetto alla vendita specializzato in cosmesi e profumeria/addetta alla vendita specializzata in cosmesi e profumeria,addetto alla vendita di fiori e piante/addetta alla vendita di fiori e piante,addetto alla vendita di prodotti ittici/addetta alla vendita di prodotti ittici,addetto alla vendita nel reparto macelleria e salumeria/addetta alla vendita nel reparto macelleria e salumeria,,,
4,Contabile,2545,False,863,responsabile della contabilità,responsabile del bilancio,contabile,revisore finanziario,addetto alla fatturazione/addetta alla fatturazione,,,
5,Impiegato Commerciale,2512,False,768,modello/modella,trader di materie prime,consulente prestiti,direttore commerciale/direttrice commerciale,responsabile spedizione e gestione ordini,,,
6,Operaio di Produzione,2498,False,874,responsabile della produzione chimica,dirigente dell’industria manifatturiera,responsabile di stabilimento di produzione,addetto alla produzione di latticini/addetta alla produzione di latticini,ingegnere di produzione,,,
7,Responsabile di Produzione,2333,False,942,responsabile della produzione chimica,responsabile della produzione delle calzature,dirigente dell’industria manifatturiera,responsabile di fonderia,resposabile delle attività di produzione,,,
8,Promoter,2158,False,0.92,promotore artistico/promotrice artistica,trader finanziario/trader finanziaria,promotore immobiliare/promotrice immobiliare,responsabile delle promozioni,responsabile attività promozionali,,,
9,Hostess,1705,False,885,assistente di volo,steward/hostess,figurante di sala in club,assistente di bordo del diporto,steward di terra/hostess di terra,,,
10,Responsabile Qualità,1555,False,833,responsabile della qualità dei prodotti di pelletteria,responsabile del servizio qualità,ingegnere responsabile della qualità,responsabile della qualità industriale,tecnico della qualità,,,
11,Addetto Servizio Clienti,1483,False,893,rappresentante del servizio clienti,responsabile del centro contatti,direttore di aeroporto/direttrice di aeroporto,responsabile del trasporto stradale,responsabile del servizio soci,,,
12,Software Developer,1450,False,738,sviluppatore di software/sviluppatrice di software,architetto software,progettista di sistemi integrati,tecnico di rete informatica,sviluppatore di software per sistemi integrati,,,
13,Digital Marketing Specialist,1392,False,878,responsabile del marketing digitale,assistente di marketing,responsabile del marketing online,gestore di rete marketing,consulente di marketing,,,
14,Cuoco,1326,False,801,cuoco/cuoca,capocuoco/capocuoca,Chef,installatore di impianti di isolamento/installatrice di impianti di isolamento,cocchiere/cocchiera,,,
15,Tuttofare,1246,False,933,tuttofare,soldato di fanteria,aiuto astatore/aiuto astatrice,esattore/esattrice,manutentore di fosse settiche/manutentrice di fosse settiche,,,
16,Magazziniere,1142,False,945,magazziniere/magazziniera,responsabile di inventario,magazziniere di pelletteria/magazziniera di pelletteria,magazziniere addetto alla preparazione degli ordini/magazziniera addetta alla preparazione degli ordini,specialista di magazzino di materie prime,,,
17,Sistemista,1115,False,942,sistemista,amministratore di sistemi TIC/amministratrice di sistemi TIC,amministratore di rete informatica/amministratrice di rete informatica,architetto di rete informatica,configuratore di applicazioni informatiche,,,
18,Cameriere/a,1110,False,875,cameriere/cameriera,capocameriere/capocameriera,steward/hostess,addetto alla vendita specializzato in cosmesi e profumeria/addetta alla vendita specializzata in cosmesi e profumeria,sommelier di vini,,,
19,Addetto alla Logistica,1033,False,929,addetto alla logistica/addetta alla logistica,responsabile della logistica e della distribuzione,responsabile della stalla per equini,tecnico addetto alla manutenzione aeroportuale,addetto al ricevimento delle materie prime/addetta al ricevimento delle materie prime,,,
20,Portiere d'Albergo,992,False,0.73,portiere d’albergo/portiera d’albergo,custode di immobili,orafo/orafa,argentiere/argentiera,fattorino conduttore di automobili e furgoni/fattorina conduttrice di automobili e furgoni,,,
21,Store Manager,967,False,718,responsabile degli acquisti,responsabile delle vendite,responsabile della catena di fornitura,responsabile dello sviluppo di abbigliamento,responsabile del marchio,,,
22,Cameriera ai Piani,922,False,727,addetto ai macchinari di scena/addetta ai macchinari di scena,cameriere/cameriera,musicista,tecnico di strumenti musicali,ispettore di gioco/ispettrice di gioco,,,
24,Consulente Informatico,825,False,947,consulente informatico,tecnico riparatore di hardware,collaudatore di sistemi TIC/collaudatrice di sistemi TIC,consulente di ricerca per sistemi informatici,tecnico informatico,,,
25,Tecnico Informatico,751,False,883,tecnico informatico,tecnico riparatore di hardware,specialista in riparazioni di attrezzature da ufficio,tecnico progettista hardware,tecnico riparatore di elettronica di consumo,,,
27,Altro,729,False,749,esperto di malto/esperta di malto,cantante,stiratore/stiratrice,addetto alla trecciatura/addetta alla trecciatura,supervisore dei cantieri edili,,,
28,Commerciale/Vendite,727,False,718,assistente di vendita,responsabile delle vendite,trader di materie prime,assistente di ufficio vendite,tecnico commerciale,,,
29,Ingegnere Elettrico,726,False,0.94,ingegnere elettrico,ingegnere elettronico,ingegnere elettromeccanico,ingegnere idroelettrico,ingegnere elettromagnetico,,,
30,Barista,710,False,893,bartender,barman,barista,fitoterapista,tributarista,,,
31,Addetto Front-Office,694,False,723,specialista in back office,addetto a front office sanitario/addetta a front office sanitario,responsabile di ufficio,addetto buste paga/addetta buste paga,assistente alle risorse umane,,,
32,Addetto alla Sicurezza,665,False,833,addetto alla sicurezza di eventi/addetta alla sicurezza di eventi,guardia del corpo,responsabile dei servizi di sicurezza privati,responsabile della sicurezza,addetto al controllo e sicurezza/addetta al controllo e sicurezza,,,
33,Informatica/IT,657,False,719,knowledge manager TIC,specialista informatico/specialista informatica,collaudatore dell’usabilità informatica/collaudatrice dell’usabilità informatica,collaudatore dell’integrazione informatica/collaudatrice dell’integrazione informatica,analista di sistemi TIC,,,
35,Lean Manager,653,False,902,responsabile del miglioramento continuo,responsabile del settore dell’energia,revenue manager nel settore dell’ospitalità,responsabile della catena di fornitura,responsabile di ufficio,,,
36,Ingegnere Meccanico,645,False,944,ingegnere meccanico,ingegnere meccanico minerario,ingegnere impiantista,ingeniere nel settore della meccanica di precisione,tecnico per la manutenzione delle macchine per la pelletteria,,,
37,Autista,641,False,863,autista soccorritore/autista soccorritrice,autista di carro funebre,autista privato/autista privata,comportamentista,imbalsamatore/imbalsamatrice,,,
38,Frigorista,621,False,738,fitoterapista,addetto alla vendita di fiori e piante/addetta alla vendita di fiori e piante,medico agopuntore,addetto alla fatturazione/addetta alla fatturazione,tributarista,,,
40,Aiuto Cuoco,599,False,779,cuoco/cuoca,assistente di cucina,aiuto astatore/aiuto astatrice,costruttore di arpe/costruttrice di arpe,costruttore di strumenti musicali a corda/costruttrice di strumenti musicali a corda,,,
41,Guardia Giurata,571,False,904,guardia giurata addetta al piantonamento fisso,agente di sorveglianza,ispettore della Guardia costiera/ispettrice della Guardia costiera,addetto ai servizi di scorta di valori/addetta ai servizi di scorta di valori,commissario di dogana/commissaria di dogana,,,
42,Addetto Paghe,546,False,774,aiuto astatore/aiuto astatrice,brasatore/brasatrice,addetto seguipersona/addetta seguipersona,addetto alla trecciatura/addetta alla trecciatura,conduttore di impianti di scissione di oli e grassi/conduttrice di impianti di scissione di oli e grassi,,,
43,Capocantiere,546,False,882,supervisore dei cantieri edili,esercente di panetteria,truccatore e parrucchiere per artisti/truccatrice e parrucchiera per artisti,capotreno,capotrivellatore,,,
44,Medico,545,False,819,medico agopuntore,assistente medico-sanitario/assistente medico-sanitaria,responsabile di struttura sanitaria,medico specialista,fisico,,,
45,Consulente Aziendale,518,False,922,consulente di gestione aziendale,analista middle office,responsabile business intelligence,consulente in trasferimento di imprese,consulente per lo sviluppo aziendale,,,
47,Ingegneria,510,False,833,ingegnere industriale,esperto in ingegneria delle superfici/esperta in ingegneria delle superfici,tecnico di ingegneria industriale,ingegnere meccanico,docente universitario di ingegneria/docente universitaria di ingegneria,,,
48,Commercio Al Dettaglio/Retail,504,False,754,commerciante al dettaglio,assistente di vendita,commesso di libreria/commessa di libreria,merchandiser allestitore/merchandiser allestitrice,gestore di conti bancari,,,
49,Operatore Socio Sanitario,499,False,0.91,assistente infermiere/assistente infermiera,operatore socio-sanitario/operatrice socio-sanitaria,operatore sanitario di comunità/operatrice sanitaria di comunità,operatore socio assistenziale/operatrice socio assistenziale,addetto alle emergenze/addetta alle emergenze,,,
50,Ingegnere Civile,487,False,908,ingegnere civile,tecnico dell'ingegneria civile ,ingegnere edile,geometra consulente immobiliare,ingegnere industriale,,,
51,Ingegnere Elettronico,484,False,912,ingegnere elettronico,ingegnere elettrico,ingegnere elettromeccanico,elettrotecnico,ingegnere elettromagnetico,,,
52,Tecnico CAD,470,False,807,modellista CAD di pelletteria,modellista CAD calzature,modellista CAD di abbigliamento,operatore CAD/operatrice CAD,tecnico modellista CAD di abbigliamento,,,
53,Analista Funzionale,470,False,782,responsabile del monitoraggio e della valutazione,consulente attuariale,analista del lavoro,analista di call center,esperto in scienze della comunicazione/esperta in scienze della comunicazione,,,
54,Elettricista,463,False,942,elettricista ferroviario/elettricista ferroviaria,elettricista,tecnico avionico,elettricista per eventi,giuntista di cavi elettrici,,,
55,Web Developer,456,False,707,sviluppatore web/sviluppatrice web,specialista in business development,web designer,ingegnere di rete informatica,architetto di rete informatica,,,
57,Formatore Aziendale,453,False,875,formatore aziendale/formatrice aziendale,tesoriere aziendale/tesoriera aziendale,responsabile della pianificazione strategica,direttore aziendale/direttrice aziendale,analista middle office,,,
58,Infermiere,440,False,908,assistente infermiere/assistente infermiera,infermiere specialista/infermiera specialista,infermiere addetto ai prelievi/infermiera addetta ai prelievi,infermiere di pratica avanzata/infermiera di pratica avanzata,infermiere generalista/infermiera generalista,,,
59,Consulenza,435,False,786,consulente attuariale,consulente per l'orientamento professionale,consulente sociale,progettista di interni,consulente per la tutela dei diritti dei consumatori,,,
60,Amministrazione/Segreteria,432,False,737,segretario/segretaria,ministro/ministra,dirigente della pubblica amministrazione,direttore della sicurezza sociale/direttrice della sicurezza sociale,funzionario amministrativo/funzionaria amministrativa,,,
62,Meccanico,425,False,939,tecnico per la manutenzione delle macchine per la pelletteria,tecnico meccanico,assemblatore meccanico,attrezzista meccanico/attrezzista meccanica,ingegnere meccanico minerario,,,
63,Receptionist,421,False,921,addetto al ricevimento/addetta al ricevimento,responsabile dei servizi di ricevimento e portineria in albergo,addetto alla reception/addetta alla reception,portiere notturno/portiera notturna,addetto a centro estetico/addetta a centro estetico,,,
65,Scaffalista,417,False,727,addetto agli scaffali/addetta agli scaffali,addetto alla fatturazione/addetta alla fatturazione,caldaista,operatore di impianti a vapore/operatrice di impianti a vapore,barman,,,
66,Informatore scientifico,415,False,863,informatore medico scientifico/informatrice medico scientifica,responsabile della ricerca,traduttore/traduttrice,investigatore della polizia scientifica/investigatrice della polizia scientifica,formatore/formatrice,,,
67,Addetto al Confezionamento,405,False,825,addetto al montaggio manuale di articoli di pelletteria/addetta al montaggio manuale di articoli di pelletteria,tecnico della lavorazione dei latticini,magazziniere di pelletteria/magazziniera di pelletteria,addetto al ricevimento delle materie prime/addetta al ricevimento delle materie prime,addetto al separatore di spezie/addetta al separatore di spezie,,,
68,Consulente Legale,400,False,933,consulente legale,consulente giuridico/consulente giuridica,consulente attuariale,tutore legale/tutrice legale,consulente di gestione aziendale,,,
69,Geometra,399,False,928,tecnico catastale,geometra consulente immobiliare,rilevatore cartografico/rilevatrice cartografica,rilevatore topografico/rilevatrice topografica,specialista in sistemi informativi geografici,,,
71,Scienza,390,False,741,pedologo/pedologa,tecnico sanitario di laboratorio biomedico,climatologo/climatologa,scienziato veterinario/scienziata veterinaria,docente universitario in scienze fisiche/docente universitaria in scienze fisiche,,,
72,Addetto Catering,378,False,825,addetto al catering/addetta al catering,commesso di negozio di gastronomia/commessa di negozio di gastronomia,commesso di panetteria/commessa di panetteria,addetto alla frantumazione/addetta alla frantumazione,cameriere/cameriera,,,
73,Educatore/Educatrice,374,False,713,educatore-istruttore-addestratore cinofilo/educatrice-istruttrice-addestratrice cinofila,ricercatore educativo/ricercatrice educativa,formatore/formatrice,educatore penitenziario/educatrice penitenziaria,pedagogo sociale/pedagoga sociale,,,
74,Agente Assicurativo,374,False,0.8,impiegato di assicurazione/impiegata di assicurazione,consulente in materia di rischio assicurativo,assicuratore/assicuratrice,agente di talenti,analista assicurativo/analista assicurativa,,,
75,Contabilità/Finanza,365,False,0.82,responsabile della contabilità,responsabile del bilancio,contabile,manager finanziario/manager finanziaria,assistente contabile,,,
76,Programmatore,360,False,866,analista software,curatore artistico/curatrice artistica,programmatore di macchine a controllo numerico/programmatrice di macchine a controllo numerico,operatore di fresatrice/operatrice di fresatrice,operatore di macchine CNC/operatrice di macchine CNC,,,
77,Assistente Sanitario,353,False,865,assistente medico-sanitario/assistente medico-sanitaria,assistente infermiere/assistente infermiera,assistente amministrativo medico/assistente amministrativa medica,consulente sanitario/consulente sanitaria,responsabile del servizio cartelle cliniche,,,
80,Software Architect,332,False,0.94,architetto software,architetto di sistemi TIC,progettista di sistemi integrati,sviluppatore di software per sistemi integrati,tecnico di rete informatica,,,
81,Controller,332,False,808,controllore ferroviario,collaudatore di pannelli di controllo/collaudatrice di pannelli di controllo,responsabile delle attività ferroviarie,ispettore di attrezzature elettroniche/ispettrice di attrezzature elettroniche,controllore dello spazio aereo/controllora dello spazio aereo,,,
82,Analista Finanziario,326,False,933,analista finanziario/analista finanziaria,consulente economico/consulente economica,giornalista economico/giornalista economica,analista frodi finanziarie,responsabile del bilancio,,,
84,Programmatore PLC,316,False,771,programmatore di macchine a controllo numerico/programmatrice di macchine a controllo numerico,operatore di fresatrice/operatrice di fresatrice,operatore di macchine CNC/operatrice di macchine CNC,analista software,programmatore e gestore di eventi/programmatrice e gestore di eventi,,,
85,Responsabile della Comunicazione,312,False,961,responsabile della comunicazione,responsabile della manutenzione dell’infrastruttura di comunicazione,responsabile delle telecomunicazioni,tecnico delle telecomunicazioni,analista delle telecomunicazioni,,,
86,Segretario/a,303,False,888,segretario/segretaria,assistente amministrativo/assistente amministrativa,assistente esecutivo/assistente esecutiva,segretario di Stato/segretaria di Stato,segretario generale/segretaria generale,,,
87,Ingegnere Energetico,300,False,946,ingegnere energetico,ingegnere elettrico,ingegnere dei sistemi energetici,ingegnere elettronico,ingegnere esperto in distribuzione di energia,,,
88,HR Manager,291,False,766,dirigente delle risorse umane,responsabile di categoria,responsabile di reparto,responsabile delle promozioni,responsabile di ufficio,,,
90,Ingegnere Aerospaziale,285,False,953,ingegnere aerospaziale,tecnico aerospaziale,ingegnere aerodinamico,disegnatore aerospaziale/disegnatrice aerospaziale,secondo ufficiale,,,
89,Addetto alla Manutenzione Industriale,285,False,842,supervisore della manutenzione industriale,addetto alla montatrice/addetta alla montatrice,addetto alla manutenzione veicoli/addetta alla manutenzione veicoli,responsabile della produzione industriale,operatore nel settore dei rottami metallici/operatrice nel settore dei rottami metallici,,,
91,Tecnico di Laboratorio Chimico,284,False,943,tecnico di analisi chimiche,tecnico biochimico,chimico,tecnico di laboratorio scientifico,responsabile della ricerca,,,
92,Pizzaiolo,282,False,943,pizzaiolo/pizzaiola,fattorino conduttore di automobili e furgoni/fattorina conduttrice di automobili e furgoni,viticoltore/viticoltrice,massaro di vigneti,spazzolaio/spazzolaia,,,
93,Ethical Hacker,279,False,845,hacker etico/hacker etica,responsabile della risposta ai ciberincidenti,responsabile dei rischi di cibersicurezza,tecnico della sicurezza informatica,ingegnere della sicurezza dei sistemi integrati,,,
94,Manutentore Meccanico,279,False,891,attrezzista meccanico/attrezzista meccanica,tecnico per la manutenzione delle macchine per la pelletteria,tecnico delle attrazioni,manutentore,manutentore elettromeccanico/manutentrice elettromeccanica,,,
95,Architetto,267,False,864,architetto/architetta,architetto di interni/architetta di interni,disegnatore architettonico/disegnatrice architettonica,architetto paesaggista/architetta paesaggista,giardiniere paesaggista/giardiniera paesaggista,,,
96,Customer Service/Call Center,265,False,707,responsabile di call center,operatore di call center/operatrice di call center,analista di call center,supervisore di call center,operatore sociale di call center/operatrice sociale di call center,,,
97,Pasticcere,264,False,891,pasticcere/pasticcera,capo chef pasticcere/capo chef pasticcera,pasticcere-confettiere/pasticcera-confettiera,esercente di panetteria,esercente di pasticceria,,,
98,IT Security Manager,262,False,884,amministratore della sicurezza delle infrastrutture TIC/amministratrice della sicurezza delle infrastrutture TIC,responsabile dei rischi di cibersicurezza,responsabile della sicurezza delle infrastrutture TIC,knowledge manager TIC,responsabile del servizio di assistenza TIC,,,
100,Capo Ufficio,261,False,776,responsabile di ufficio,responsabile della sicurezza,addetto alla stipulazione di prestiti ipotecari/addetta alla stipulazione di prestiti ipotecari,direttore ufficio appalti/direttrice ufficio appalti,specialista in riparazioni di attrezzature da ufficio,,,
102,Consulente Finanziario,249,False,943,consulente finanziario,trader finanziario/trader finanziaria,gestore di patrimoni,consulente economico/consulente economica,intermediario finanziario/intermediaria finanziaria,,,
103,Banconista,244,False,0.77,addetto al montaggio manuale di articoli di pelletteria/addetta al montaggio manuale di articoli di pelletteria,tesoriere bancario/tesoriera bancaria,addetto al taglio delle carni per la vendita/addetta al taglio delle carni per la vendita,assistente di vendita,direttore di banca/direttrice di banca,,,
105,Brand Manager,233,False,921,responsabile dello sviluppo di abbigliamento,responsabile del marchio,responsabile di prodotto,responsabile della catena di fornitura,responsabile della distribuzione,,,
106,Assistente di Direzione,227,False,947,assistente esecutivo/assistente esecutiva,segretario/segretaria,assistente di gestione,direttore di succursale/direttrice di succursale,responsabile di struttura di ricezione,,,
107,Programmatore CNC,226,False,969,operatore di fresatrice/operatrice di fresatrice,operatore di macchine CNC/operatrice di macchine CNC,programmatore di macchine a controllo numerico/programmatrice di macchine a controllo numerico,operatore di punzonatrice/operatrice di punzonatrice,addetto alla fresatrice/addetta alla fresatrice,,,
108,Responsabile della Logistica,225,False,938,responsabile della distribuzione,responsabile della logistica e della distribuzione,responsabile della catena di fornitura,supervisore della manutenzione industriale,analista della logistica,,,
109,Avvocato,222,False,937,avvocato/avvocata,giurista d’impresa,consulente in immigrazione,consulente per la tutela dei diritti dei consumatori,giurista linguista,,,
112,Ingegnere dell'Automazione,217,False,922,ingegnere dell’automazione,tecnico dell’automazione,specialista in auto a guida autonoma,ingegnere esperto in omologazioni,ingegnere del settore automobilistico,,,
113,Addetto Import Export,207,False,743,responsabile import-export,specialista import-export,specialista import-export di rottami e cascami,responsabile import-export di rottami e cascami,specialista import-export di articoli per la casa,,,
115,Verniciatore,207,False,821,addetto alla verniciatura di mezzi di trasporto/addetta alla verniciatura di mezzi di trasporto,addetto alla verniciatura a spruzzo/addetta alla verniciatura a spruzzo,addetto ai trattamenti superficiali/addetta ai trattamenti superficiali,verniciatore navale/verniciatrice navale,operaio del settore vinicolo/operaia del settore vinicolo,,,
